filename,size,rseries
07180808_2256_F0002,165.173MiB,R68
07180808_2256_F0003,163.255MiB,R68
07180808_2256_F0004,160.746MiB,R68
07180808_2256_F0005,169.656MiB,R68
07180808_2256_F0006,164.605MiB,R68
07180808_2256_F0007,164.375MiB,R68
07180808_2256_F0008,171.127MiB,R68
07180808_2256_F0009,169.055MiB,R68
07180808_2256_F0010,138.846MiB,R68
07180808_2307_F0001,43.543MiB,R68
07180808_2307_F0002,171.639MiB,R68
07180808_2307_F0003,175.593MiB,R68
07180808_2307_F0004,166.548MiB,R68
07180808_2307_F0005,171.468MiB,R68
07180808_2307_F0006,178.623MiB,R68
07180808_2307_F0007,174.354MiB,R68
07180808_2307_F0008,167.542MiB,R68
07180808_2307_F0009,177.968MiB,R68
07180808_2307_F0010,137.132MiB,R68
07180808_2317_F0001,48.197MiB,R68
07180808_2317_F0002,177.202MiB,R68
07180808_2317_F0003,180.730MiB,R68
07180808_2317_F0004,181.552MiB,R68
07180808_2317_F0005,179.894MiB,R68
07180808_2317_F0006,177.516MiB,R68
07180808_2317_F0007,178.349MiB,R68
07180808_2317_F0008,171.540MiB,R68
07180808_2317_F0009,181.235MiB,R68
07180808_2317_F0010,145.068MiB,R68
07180808_2327_F0001,46.472MiB,R68
07180808_2327_F0002,187.138MiB,R68
07180808_2327_F0003,185.712MiB,R68
07180808_2327_F0004,183.574MiB,R68
07180808_2327_F0005,180.123MiB,R68
07180808_2327_F0006,181.152MiB,R68
07180808_2327_F0007,176.618MiB,R68
07180808_2327_F0008,178.216MiB,R68
07180808_2327_F0009,175.245MiB,R68
07180808_2327_F0010,147.595MiB,R68
07180808_2337_F0001,49.789MiB,R68
07180808_2337_F0002,177.649MiB,R68
07180808_2337_F0003,182.969MiB,R68
07180808_2337_F0004,177.474MiB,R68
07180808_2337_F0005,174.690MiB,R68
07180808_2337_F0006,177.909MiB,R68
07180808_2337_F0007,182.736MiB,R68
07180808_2337_F0008,175.695MiB,R68
07180808_2337_F0009,174.956MiB,R68
07180808_2337_F0010,151.086MiB,R68
07180808_2347_F0001,48.640MiB,R68
07180808_2347_F0002,176.145MiB,R68
07180808_2347_F0003,176.177MiB,R68
07180808_2347_F0004,178.275MiB,R68
07180808_2347_F0005,179.674MiB,R68
07180808_2347_F0006,161.056MiB,R68
07180808_2347_F0007,185.165MiB,R68
07180808_2347_F0008,177.564MiB,R68
07180808_2347_F0009,181.362MiB,R68
07180808_2347_F0010,143.975MiB,R68
07180808_2357_F0001,50.470MiB,R68
07180808_2357_F0002,185.064MiB,R68
07180808_2357_F0003,180.577MiB,R68
07180808_2357_F0004,175.558MiB,R68
07180808_2357_F0005,176.979MiB,R68
07180808_2357_F0006,180.231MiB,R68
07180808_2357_F0007,183.235MiB,R68
